_row_id,split
0,train
1,train
2,train
3,test
4,train
5,train
6,test
7,train
8,train
9,test
10,train
11,train
12,train
13,test
14,train
15,test
16,train
17,train
18,train
19,test
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,test
33,train
34,train
35,train
36,train
37,train
38,test
39,test
40,train
41,train
42,test
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,train
52,test
53,test
54,train
55,train
56,train
57,test
58,train
59,train
60,train
61,train
62,test
63,test
64,train
65,train
66,train
67,test
68,train
69,test
70,train
71,train
72,test
73,test
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,test
84,train
85,train
86,train
87,test
88,train
89,train
90,train
91,test
92,train
93,train
94,train
95,train
96,test
97,train
98,train
99,train
100,train
101,train
102,test
103,test
104,test
105,test
106,train
107,train
108,test
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,train
117,test
118,test
119,test
120,test
121,train
122,test
123,train
124,test
125,train
126,train
127,test
128,train
129,train
130,train
131,train
132,test
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,test
153,train
154,train
155,train
156,train
157,train
158,train
159,test
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,test
171,train
172,train
173,train
174,train
175,test
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,test
185,test
186,train
187,train
188,train
189,train
190,train
191,train
192,test
193,test
194,test
195,train
196,train
197,train
198,test
199,test
200,test
201,train
202,train
203,test
204,train
205,train
206,test
207,test
208,train
209,test
210,test
211,train
212,train
213,test
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,test
227,test
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,test
241,test
242,test
243,test
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,test
252,train
253,train
254,train
255,train
256,test
257,test
258,test
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,test
269,train
270,train
